Position,Name,Salary,AvgPointsPerGame,Team,Oppt,h/a
WR,Kasen Williams,3400,3.48,cle,ten,a
DST,Titans ,3400,5.167,ten,cle,h
TE,Jack Doyle,3400,9.86,ind,jax,a
RB,Jeremy Hill,3400,3.08,cin,pit,h
WR,Mike Williams,3400,2.5,lac,den,a
WR,Taywan Taylor,3300,4.817,ten,cle,h
WR,Jeff Janis,3300,0,gb,no,a
TE,Martellus Bennett,3300,7.267,gb,no,a
WR,Brandon Coleman,3300,7.6,no,gb,h
WR,Donte Moncrief,3300,7.683,ind,jax,a
WR,Laquon Treadwell,3300,2.883,min,bal,a
DST,Vikings ,3300,6.667,min,bal,a
WR,Michael Campanaro,3300,3.733,bal,min,h
WR,Brandon LaFell,3300,5.16,cin,pit,h
RB,Rod Smith,3300,0.72,dal,sf,h
WR,Bennie Fowler,3300,7.8,den,lac,h
WR,Travis Benjamin,3300,7.35,lac,den,a
RB,Paul Perkins,3300,4.15,nyg,sea,a
WR,Travis Rudolph,3300,0,nyg,sea,a
WR,Ed Eagan,3300,0,nyg,sea,a
WR,Tavarres King,3300,1.7,nyg,sea,a
RB,J.D. McKissic,3300,13.05,sea,nyg,h
WR,Markus Wheaton,3200,0.633,chi,car,a
TE,Zach Miller,3200,8.45,chi,car,a
WR,Rashard Higgins,3200,4.98,cle,ten,a
WR,Jaelen Strong,3200,0,jax,ind,h
RB,Kerwynn Williams,3200,2.3,ari,lar,h
WR,Michael Floyd,3200,2.2,min,bal,a
WR,John Ross,3200,0.2,cin,pit,h
DST,Steelers ,3200,10,pit,cin,a
WR,Trent Taylor,3200,5.167,sf,dal,a
TE,Nick O'Leary,3100,3.54,buf,tb,a
WR,Tavon Austin,3100,3.617,lar,ari,h
WR,Jakeem Grant,3100,0.9,mia,nyj,a
DST,Dolphins ,3100,6.8,mia,nyj,a
WR,Tyler Boyd,3100,2.575,cin,pit,h
RB,Taiwan Jones,3000,0,buf,tb,a
RB,Joe Banyard,3000,0,buf,tb,a
RB,Patrick DiMarco,3000,0.26,buf,tb,a
WR,Walter Powell,3000,0,buf,tb,a
WR,Kaelin Clay,3000,0.95,buf,tb,a
RB,Peyton Barber,3000,0.98,tb,buf,h
WR,Chris Godwin,3000,2.22,tb,buf,h
WR,Bernard Reedy,3000,0.46,tb,buf,h
RB,Taquan Mizzell,3000,0,chi,car,a
RB,Benny Cunningham,3000,4.12,chi,car,a
RB,Michael Burton,3000,0.417,chi,car,a
WR,Josh Bellamy,3000,3.567,chi,car,a
WR,Tanner Gentry,3000,2.35,chi,car,a
WR,Tre McBride,3000,0.933,chi,car,a
RB,Fozzy Whittaker,3000,2.233,car,chi,h
RB,Alex Armah,3000,0,car,chi,h
RB,Cameron Artis-Payne,3000,0,car,chi,h
WR,Damiere Byrd,3000,0.3,car,chi,h
RB,Danny Vitale,3000,0.283,cle,ten,a
RB,Matthew Dayes,3000,0.633,cle,ten,a
WR,Sammie Coates,3000,0.525,cle,ten,a
WR,Bryce Treggs,3000,3.9,cle,ten,a
WR,James Wright,3000,0,cle,ten,a
RB,David Fluellen,3000,0.35,ten,cle,h
RB,Jalston Fowler,3000,1.05,ten,cle,h
WR,Darius Jennings,3000,0,ten,cle,h
WR,Eric Weems,3000,0,ten,cle,h
RB,Devante Mays,3000,0,gb,no,a
RB,Aaron Ripkowski,3000,0.733,gb,no,a
WR,Trevor Davis,3000,0.317,gb,no,a
RB,Zach Line,3000,0,no,gb,h
RB,Trey Edmunds,3000,0,no,gb,h
WR,Tommylee Lewis,3000,4.05,no,gb,h
WR,Austin Carr,3000,0,no,gb,h
TE,Coby Fleener,3000,7.18,no,gb,h
DST,Saints ,3000,12,no,gb,h
RB,George Winn,3000,0,ind,jax,a
RB,Matt Jones,3000,0.7,ind,jax,a
WR,Quan Bray,3000,0.533,ind,jax,a
WR,Chester Rogers,3000,0,ind,jax,a
WR,Kamar Aiken,3000,3.167,ind,jax,a
RB,Tommy Bohanon,3000,2.05,jax,ind,h
WR,Keelan Cole,3000,1.783,jax,ind,h
WR,Max McCaffrey,3000,0.28,jax,ind,h
WR,Arrelious Benn,3000,0.367,jax,ind,h
WR,Dede Westbrook,3000,0,jax,ind,h
RB,Justin Davis,3000,0.05,lar,ari,h
RB,Lance Dunbar,3000,0,lar,ari,h
WR,Michael Thomas,3000,0,lar,ari,h
WR,Josh Reynolds,3000,0.633,lar,ari,h
WR,Pharoh Cooper,3000,1.767,lar,ari,h
RB,Elijhaa Penny,3000,0.283,ari,lar,h
RB,D.J. Foster,3000,0,ari,lar,h
RB,T.J. Logan,3000,0,ari,lar,h
WR,Brittan Golden,3000,1.167,ari,lar,h
WR,Chad Williams,3000,2.15,ari,lar,h
RB,Senorise Perry,3000,0,mia,nyj,a
